Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,25/07/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.26394074,18.86627814,11.67157257,2.19580451,4.539317283,2.370641508,4.092614763,4.800351995,-0.567201754,-1.830023738,3.854744451,-1.027089526,-1.689536653,4.918353851,2.369192993,-2.134006061,0.117317036,6.318776765,-1.379148395,-0.049084365,1.838730741,0.577087557,-12.76604288,-3.827012996,2.400342452,-1.833977356,5.635317503,-0.709567171,2.885166185,1.515937914,4.917138767,4.738330384,0.181216309,-18.69832435,17.2253004,
Africa Eastern and Southern,AFE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-2.34297354,5.093991966,2.330796069,1.72402096,2.436215279,1.091589655,2.36315193,1.097494231,2.314289909,1.721562142,2.415493983,-0.686310354,1.492383228,2.822418812,-1.198881748,-0.10853394,-1.584488714,-1.885533006,-0.325150875,2.362088542,1.251223517,-2.531377458,-2.75644096,0.079514542,-3.301846334,-0.712220949,1.13969351,1.062716006,0.057761119,-2.846679896,-2.583362776,-4.494922545,-2.945245042,-0.618975225,1.664402496,2.684745114,1.806285614,-0.655817294,0.09127871,0.750783889,1.011096486,1.262080212,0.471842197,2.789091254,3.356422987,3.754323278,3.727576403,1.505046046,-2.035686023,2.336312973,0.942903059,-1.844833318,1.400456612,1.186759172,0.166839638,-0.490259076,-0.105886333,-0.169822405,-0.587557018,-5.421662217,1.683556731,0.84250664
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.927029128,-2.497254639,7.321873841,1.084988201,11.80338266,1.864754466,17.14353433,11.09921992,-3.211364296,8.247144252,2.002522145,-0.964803329,-1.666416415,-0.345802497,-0.253593782,-1.688576593,0.932833389,-5.364665931,-22.92919443,
Africa Western and Central,AFW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-0.255511352,1.592942177,4.978709984,3.130231415,1.798760565,-3.962686223,-11.56781665,-0.820016683,12.91491613,15.18798395,8.212020403,0.706315835,1.66874158,7.453587638,-4.735866225,5.705278586,1.953030956,-4.870504556,2.299781652,-0.779581415,-9.551764276,-6.096813004,-9.037261812,-2.001967469,2.774882036,-1.271300615,-1.222800723,2.079912775,-0.478485882,3.822947687,-1.479236038,-0.037208148,-3.772352898,-2.831127873,-0.743677003,1.899857158,1.525165267,0.741763492,-1.252140582,0.95678003,2.339994592,6.914957193,2.644698452,5.028888805,2.904057236,2.472219803,2.624484532,3.352423722,3.345289837,4.010308649,1.948530079,2.261113186,3.257922964,3.093634596,0.026016062,-2.519274098,-0.382690796,0.14016228,0.56358047,-3.453124179,1.372160069,1.192667681
Angola,AGO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-7.738347877,-3.528441229,0.498296559,2.24177897,-0.163475064,-0.704614526,0.564519377,2.614974829,-3.274912568,-6.626409313,-2.312501779,-8.848293617,-26.34912367,-1.850621046,11.27842237,9.825457822,3.755519392,1.313926106,-1.062724886,-0.234945633,0.838227322,9.937307249,-0.466060748,7.127076555,11.00956558,7.614219205,9.935108699,7.163046018,-2.797289986,0.571220941,-0.345062435,4.53805378,1.106331035,1.030729118,-2.64297533,-6.011890778,-3.630695038,-4.676669584,-4.017114161,-8.672432129,-1.954598006,-0.09675473
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,3.648648547,0.795840071,-1.016802172,-3.307497202,-0.290595348,3.614655544,-2.749496379,-3.262522334,6.923617285,-11.1879053,-27.56682084,-6.622551212,10.22994935,8.969761659,14.02449593,9.780179879,-10.36110497,9.516484438,13.60806912,7.630022439,9.314397139,4.850475334,5.924211542,5.956569596,6.067882439,6.572922982,6.787228936,8.328108423,4.053139864,4.223083827,2.821642455,1.584872815,1.187234353,1.985388092,2.516827054,3.480293217,3.898112267,4.276311551,2.523540843,-2.745238678,9.922713708,6.205275394
Andorra,AND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,-2.526105334,0.997233297,0.890676964,-0.920696156,-5.41248286,-2.528959038,-2.660724654,-3.598624899,-4.552935268,-2.007515147,-3.847772185,-2.979354964,-2.846185526,-2.435730489,-1.480965856,-0.812964068,1.049155172,0.821046214,0.797489469,0.042320625,-0.904014454,-2.328613182,-4.165030095,-0.771998475,-0.330383518,2.661055932,8.165547743,2.396919986,3.355457446,2.83605354,5.372532989,0.076702358,4.196837094,3.882383777,1.578040219,4.292621435,4.22037542,-2.935382027,-2.478037072,1.222687703,1.340893892,-5.571255543,-4.026027034,2.140938982,1.257416013,2.574504588,-1.41657902,-0.003870296,0.23829657,-12.73507756,6.459440532,7.732715652
Arab World,ARB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,11.74951635,4.457486956,-3.62578667,7.383646314,5.348256717,0.142651967,-11.09160453,-9.135874462,-1.773428203,-4.911140965,1.399492277,-2.95505764,3.059102015,-0.403209961,8.630964772,0.254198095,2.590523573,0.424790962,0.58588149,0.508609445,2.277334083,2.294851774,2.744009817,-0.422571649,4.185471896,-0.48979975,-1.469523954,2.65337821,6.510568608,3.09963501,3.473591877,1.833522455,2.767647901,-2.185920007,2.236488411,1.309901957,2.921837447,0.31181486,0.167322011,1.265625404,1.546403688,-0.83282232,0.344381769,-0.671140196,-6.712495241,1.909280768,4.101065601
United Arab Emirates,ARE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,3.097306907,5.516138938,-13.6117817,7.18387947,10.97530592,-3.534486368,-12.12483156,-10.11176334,-1.608639993,-8.570465038,-20.12081994,-3.651285455,-8.852247083,5.556954378,11.58314134,-4.575279929,-1.921751266,-3.614620809,2.042957365,2.0870473,0.092720744,1.35949143,-5.716708524,-2.958957302,4.836129645,-3.851554147,-2.625471695,3.67104717,4.630576274,-2.190420613,-4.017715396,-13.9233874,-13.28742756,-17.1453939,-4.256385863,5.763433442,3.691201305,4.012692145,3.174202487,5.817357871,4.653505395,-0.087326071,0.517239889,0.323686527,-5.731044522,3.05240052,6.546638235
Argentina,ARG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,3.740902814,-2.454333032,-6.831393315,8.382751477,8.838850212,-2.20928541,1.587241218,3.20815605,8.001733126,1.443199663,3.998125312,0.020487332,1.136093322,3.754159661,-1.673528395,-3.563802521,5.238802842,-6.027002039,8.472518077,-0.077522758,-6.676587246,-2.285150415,2.735130038,0.021379788,-6.613093277,4.561114003,1.164689931,-2.570391833,-8.527911411,-3.877389883,7.589999664,6.450073131,6.747497372,4.420120785,-4.116880801,4.204967319,6.823321092,2.654347597,-4.492112129,-1.906987498,-5.453796978,-11.84595039,7.719229637,7.928157051,7.732496999,6.934981738,7.916210572,3.029785407,-6.867955225,9.844296398,4.788683139,-2.14528445,1.265685175,-3.57858051,1.629664279,-3.110063898,1.757648183,-3.601609757,-2.969562499,-10.81261085,9.357175859,4.273163738
