ALB,Europe & Central Asia,Upper middle income,,Albania
AND,Europe & Central Asia,High income,,Andorra
ARM,Europe & Central Asia,Upper middle income,,Armenia
AUT,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Austria
AZE,Europe & Central Asia,Upper middle income,,Azerbaijan
BEL,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Belgium
BGR,Europe & Central Asia,Upper middle income,,Bulgaria
BIH,Europe & Central Asia,Upper middle income,,Bosnia and Herzegovina
BLR,Europe & Central Asia,Upper middle income,"Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)",Belarus
CHE,Europe & Central Asia,High income,,Switzerland
CHI,Europe & Central Asia,High income,,Channel Islands
CYP,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Cyprus
CZE,Europe & Central Asia,High income,,Czechia
DEU,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 Deutsche Mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Germany
DNK,Europe & Central Asia,High income,,Denmark
ESP,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Spain
EST,Europe & Central Asia,High income,"The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Estonia
FIN,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Finland
FRA,Europe & Central Asia,High income,"The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",France
FRO,Europe & Central Asia,High income,,Faroe Islands
GBR,Europe & Central Asia,High income,,United Kingdom
GEO,Europe & Central Asia,Upper middle income,"Includes self-governed areas only, which mostly exclude Abkhazia and South Ossetia, but small areas in Abkhazia and South Ossetia are included before 2008 or 2009 because of the changes in self-governed areas.",Georgia
GIB,Europe & Central Asia,High income,The DEC conversion is not reported when national accounts data are unavailable.,Gibraltar
GRC,Europe & Central Asia,High income,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Greece
GRL,Europe & Central Asia,High income,,Greenland
HRV,Europe & Central Asia,High income,,Croatia
HUN,Europe & Central Asia,High income,,Hungary
